LABEL,START,DUR,FINISH,DUR_TRANS,LABEL_NUM,COUNT
CHILD,0.041,0.289,39.762,0.289,1,1
ADULT,43.489,3.52,47.009,-3.52,-1,1
CHILD,47.191,0.174,50.313,0.174,1,1
ADULT,50.492,2.02,58.51,-2.02,-1,1
CHILD,58.011,0.697,58.708,0.697,1,1
ADULT,65.492,1.029,66.521,-1.029,-1,1
CHILD,66.012,0.591,74.993,0.591,1,1
ADULT,75.992,45.218,121.21,-45.218,-1,1
CHILD,82.991,0.12,83.111,0.12,1,1
ADULT,107.225,0.364,137.966,-0.364,-1,1
CHILD,130.354,0.157,139.322,0.157,1,1
ADULT,138.547,2.945,141.888,-2.945,-1,1
CHILD,141.991,0.52,144.011,0.52,1,1
ADULT,144.308,3.834,148.142,-3.834,-1,1
CHILD,146.011,0.11,147.395,0.11,1,1
ADULT,149.143,16.305,165.448,-16.305,-1,1
CHILD,149.6,0.101,149.701,0.101,1,1
ADULT,165.628,0.231,189.992,-0.231,-1,1
CHILD,190.547,2.445,192.992,2.445,1,1
ADULT,192.169,13.412,205.581,-13.412,-1,1
CHILD,198.948,0.594,199.542,0.594,1,1
ADULT,207.875,0.867,238.512,-0.867,-1,1
CHILD,209.976,0.476,241.08,0.476,1,1
ADULT,241.993,1.519,251.01,-1.519,-1,1
CHILD,251.119,0.201,251.32,0.201,1,1
ADULT,253.164,1.539,259.065,-1.539,-1,1
CHILD,260.126,0.862,260.988,0.862,1,1
ADULT,262.882,17.629,280.511,-17.629,-1,1
CHILD,279.723,0.78,280.503,0.78,1,1
ADULT,280.962,0.53,281.492,-0.53,-1,1
CHILD,280.992,2,282.992,2,1,1
ADULT,282.955,5.056,290.993,-5.056,-1,1
CHILD,290.296,0.457,291.076,0.457,1,1
ADULT,291.944,2.567,294.511,-2.567,-1,1
CHILD,292.204,0.187,292.391,0.187,1,1
ADULT,295.643,2.389,305.82,-2.389,-1,1
CHILD,300.184,0.233,301.51,0.233,1,1
ADULT,306.364,3.782,313.218,-3.782,-1,1
CHILD,310.6,0.412,313.804,0.412,1,1
ADULT,313.764,10.284,334.493,-10.284,-1,1
CHILD,330.576,0.137,332.068,0.137,1,1
ADULT,335.094,5.918,373.012,-5.918,-1,1
CHILD,363.731,0.262,363.993,0.262,1,1
ADULT,375.357,11.635,410.098,-11.635,-1,1
CHILD,398.993,0.543,411.735,0.543,1,1
ADULT,411.406,0.834,422.979,-0.834,-1,1
CHILD,418.011,0.233,418.244,0.233,1,1
ADULT,423.787,2.219,426.006,-2.219,-1,1
CHILD,426.738,1.426,428.164,1.426,1,1
ADULT,428.141,15.714,483.453,-15.714,-1,1
CHILD,468.874,0.118,474.276,0.118,1,1
ADULT,483.749,2.978,486.727,-2.978,-1,1
CHILD,487.468,0.523,487.991,0.523,1,1
ADULT,488.788,0.133,489.219,-0.133,-1,1
CHILD,489.159,1.333,490.492,1.333,1,1
ADULT,491.493,2.646,494.139,-2.646,-1,1
CHILD,494.492,0.861,495.353,0.861,1,1
ADULT,495.293,0.574,500.41,-0.574,-1,1
CHILD,495.946,1.247,497.193,1.247,1,1
ADULT,501.491,29.519,531.01,-29.519,-1,1
CHILD,512.674,0.82,527.958,0.82,1,1
ADULT,529.639,1.19,559.948,-1.19,-1,1
CHILD,541.554,0.101,541.655,0.101,1,1
ADULT,542.714,0.197,564.938,-0.197,-1,1
CHILD,565.012,0.734,567.989,0.734,1,1
ADULT,569.116,22.682,591.798,-22.682,-1,1
CHILD,570.512,0.999,592.24,0.999,1,1
ADULT,592.476,1.235,599.323,-1.235,-1,1
CHILD,596.012,0.748,599.429,0.748,1,1
ADULT,599.891,0.716,600.607,-0.716,-1,1
CHILD,600.514,0.606,601.12,0.606,1,1
ADULT,601.003,16.008,667.705,-16.008,-1,1
CHILD,672.492,1.394,673.886,1.394,1,1
ADULT,674.011,2.59,706.281,-2.59,-1,1
CHILD,694,0.511,701.492,0.511,1,1
ADULT,706.49,2.633,722.427,-2.633,-1,1
CHILD,722.491,0.52,723.011,0.52,1,1
ADULT,722.979,2.609,779.897,-2.609,-1,1
CHILD,755.735,0.788,767.51,0.788,1,1
ADULT,780.283,1.365,799.511,-1.365,-1,1
CHILD,799.511,1.914,801.425,1.914,1,1
ADULT,800.872,10.68,811.552,-10.68,-1,1
CHILD,801.011,0.368,813.621,0.368,1,1
ADULT,815.01,16.981,831.991,-16.981,-1,1
CHILD,831.492,4.251,835.743,4.251,1,1
ADULT,835.512,10.481,845.993,-10.481,-1,1
CHILD,836.857,0.606,848.392,0.606,1,1
ADULT,849.096,20.923,926.998,-20.923,-1,1
CHILD,928.115,0.878,928.993,0.878,1,1
ADULT,933.336,2.641,935.977,-2.641,-1,1
CHILD,933.512,0.999,934.511,0.999,1,1
ADULT,937.011,3.981,940.992,-3.981,-1,1
CHILD,940.996,0.94,941.936,0.94,1,1
ADULT,943.171,0.211,943.382,-0.211,-1,1
CHILD,947.492,0.687,949.738,0.687,1,1
ADULT,949.992,0.15,952.492,-0.15,-1,1
CHILD,950.511,1.541,955.62,1.541,1,1
ADULT,960.103,0.143,964.242,-0.143,-1,1
CHILD,964.764,1.006,969.45,1.006,1,1
ADULT,969.945,1.067,971.012,-1.067,-1,1
CHILD,970.761,1.318,972.079,1.318,1,1
ADULT,977.063,1.195,978.258,-1.195,-1,1
CHILD,983.011,0.155,987.902,0.155,1,1
ADULT,984.646,0.916,992.992,-0.916,-1,1
CHILD,991.511,1.75,996.504,1.75,1,1
ADULT,993.673,0.339,994.012,-0.339,-1,1
CHILD,997.23,0.999,998.229,0.999,1,1
ADULT,997.572,0.208,997.78,-0.208,-1,1
CHILD,997.955,0.208,998.163,0.208,1,1
ADULT,997.993,1.443,999.436,-1.443,-1,1
CHILD,999.935,3.058,1002.993,3.058,1,1
ADULT,1002.993,2.499,1005.492,-2.499,-1,1
CHILD,1003.801,0.25,1008.137,0.25,1,1
ADULT,1007.441,0.538,1007.979,-0.538,-1,1
CHILD,1008.526,4.092,1015.895,4.092,1,1
ADULT,1016.724,1.112,1017.836,-1.112,-1,1
